User ID,Gender,Age,EstimatedSalary,Purchased
100001,Male,41,71570,1
100002,Female,28,16015,0
100003,Male,25,76813,0
100004,Male,53,42712,1
100005,Male,55,115497,1
100006,Female,57,127816,1
100007,Male,37,143778,1
100008,Male,52,77292,1
100009,Male,42,38833,0
100010,Female,52,35309,0
100011,Male,42,21970,0
100012,Male,46,87474,1
100013,Male,35,61540,0
100014,Male,35,33017,0
100015,Female,19,90880,0
100016,Male,52,120570,0
100017,Female,33,23702,1
100018,Female,58,146456,1
100019,Female,53,15404,1
100020,Male,50,27763,1
100021,Female,21,113142,1
100022,Male,50,95642,1
100023,Female,31,65612,0
100024,Female,38,38574,0
100025,Female,37,38524,0
100026,Female,25,25916,0
100027,Female,24,19809,0
100028,Female,20,136288,1
100029,Female,34,53765,0
100030,Female,50,60106,1
100031,Male,29,68932,0
100032,Male,39,72091,1
100033,Female,39,36949,0
100034,Female,47,52744,1
100035,Female,55,123319,1
100036,Male,55,107193,0
100037,Female,25,51187,0
100038,Male,44,139454,1
100039,Male,44,29489,0
100040,Male,51,76877,1
100041,Male,38,64922,0
100042,Male,47,109074,0
100043,Female,50,52131,1
100044,Female,45,130765,1
100045,Female,50,88963,1
100046,Female,22,121884,0
100047,Female,36,140917,1
100048,Male,21,39285,0
100049,Female,52,52626,1
100050,Female,34,34198,0
100051,Male,45,30254,0
100052,Female,47,59238,0
100053,Male,46,16252,1
100054,Female,23,54764,0
100055,Male,52,92709,1
100056,Female,58,68682,0
100057,Female,54,74494,1
100058,Male,41,96317,1
100059,Male,46,80215,1
100060,Male,48,93587,1
100061,Male,52,21949,0
100062,Male,50,70393,0
100063,Male,38,40934,1
100064,Male,49,90745,1
100065,Male,40,109456,1
100066,Female,50,68413,0
100067,Female,20,112239,0
100068,Male,35,57318,0
100069,Female,42,85390,0
100070,Female,59,58088,1
100071,Female,48,118196,1
100072,Female,20,70479,0
100073,Male,57,34963,1
100074,Female,41,70123,1
100075,Male,49,140911,1
100076,Female,39,117468,1
100077,Female,40,88477,1
100078,Female,19,29388,0
100079,Male,44,20569,1
100080,Female,59,84836,1
100081,Male,19,119573,1
100082,Female,43,60002,1
100083,Male,34,39071,0
100084,Female,57,73243,1
100085,Male,50,140827,1
100086,Male,26,123215,1
100087,Female,60,116570,1
100088,Male,56,84724,1
100089,Female,46,130359,1
100090,Female,59,90697,0
100091,Female,43,43732,0
100092,Female,52,136465,1
100093,Female,42,72108,1
100094,Female,41,126195,1
100095,Female,30,118081,0
100096,Female,24,51668,1
100097,Female,53,38061,1
100098,Female,37,94252,0
100099,Female,18,54749,0
100100,Male,25,145560,0
100101,Male,33,119680,1
100102,Female,31,66745,1
100103,Female,29,123464,0
100104,Female,40,106865,1
100105,Female,32,127428,0
100106,Female,45,38624,0
100107,Female,51,38321,1
100108,Female,19,37574,0
100109,Female,49,133831,1
100110,Male,40,110257,0
100111,Female,39,79291,1
100112,Male,42,142600,1
100113,Female,39,65428,1
100114,Female,39,146374,1
100115,Male,59,146127,1
100116,Female,23,126317,1
100117,Male,32,142449,0
100118,Female,60,43699,1
100119,Female,54,88686,1
100120,Male,50,82661,1
100121,Female,25,59247,0
100122,Male,22,120113,0
100123,Female,56,19621,0
100124,Male,21,33030,0
100125,Male,23,97838,0
100126,Female,49,99717,0
100127,Female,47,53638,1
100128,Male,52,82067,1
100129,Female,57,133033,1
100130,Female,33,120977,0
100131,Female,30,103869,0
100132,Male,59,120186,1
100133,Male,47,49674,0
100134,Male,36,61271,0
100135,Male,34,88688,1
100136,Male,36,126076,1
100137,Male,45,16062,0
100138,Male,43,65448,1
100139,Male,54,110462,1
100140,Male,43,62915,1
100141,Female,40,19632,0
100142,Male,26,119592,0
100143,Female,29,149668,0
100144,Female,18,124779,0
100145,Female,18,123099,0
100146,Male,51,22561,0
100147,Male,49,97152,1
100148,Male,42,140036,0
100149,Male,57,139049,1
100150,Female,18,41734,0
100151,Male,33,41069,0
100152,Male,56,27910,1
100153,Male,22,88479,1
100154,Male,39,96264,0
100155,Male,46,38275,1
100156,Female,20,87274,0
100157,Male,29,115776,1
100158,Female,43,63447,1
100159,Male,33,141394,1
100160,Female,54,90703,0
100161,Male,39,91090,1
100162,Male,46,32260,0
100163,Female,31,127581,0
100164,Female,45,18812,0
100165,Female,22,131148,1
100166,Male,47,131421,1
100167,Female,22,16605,0
100168,Male,29,87303,1
100169,Male,33,91125,0
100170,Female,43,139040,1
100171,Female,43,19324,0
100172,Male,38,91323,0
100173,Male,56,24111,0
100174,Female,53,31389,1
100175,Female,50,137177,1
100176,Female,47,56427,1
100177,Male,54,137883,1
100178,Male,40,146189,1
100179,Male,27,140808,0
100180,Male,22,127221,0
100181,Male,53,28234,0
100182,Male,51,68441,1
100183,Female,48,15846,0
100184,Male,27,25954,0
100185,Male,36,94239,1
100186,Male,49,61514,1
100187,Female,18,103236,0
100188,Male,22,112579,1
100189,Male,21,57101,0
100190,Female,33,79323,1
100191,Male,41,106922,1
100192,Male,33,142534,1
100193,Male,19,82584,0
100194,Male,45,119537,1
100195,Male,49,93477,1
100196,Female,44,57533,0
100197,Female,37,16828,0
100198,Female,41,16917,0
100199,Male,29,35618,0
100200,Male,52,47254,1
100201,Male,50,120292,1
100202,Female,50,62362,0
100203,Male,60,35128,0
100204,Male,54,138781,1
100205,Female,29,80545,0
100206,Male,20,97180,1
100207,Female,18,102958,0
100208,Female,50,148291,1
100209,Female,57,54809,0
100210,Male,27,131748,0
100211,Male,60,20287,0
100212,Male,46,23512,0
100213,Male,30,147414,1
100214,Male,29,123872,1
100215,Male,48,108070,1
100216,Male,19,94767,1
100217,Female,52,112829,1
100218,Male,40,57078,1
100219,Female,34,121288,1
100220,Male,43,98524,0
100221,Male,25,27219,0
100222,Male,46,15235,0
